title,author,narrator,series,length,releaseDate,language
68. The Silent Patient,Alex Michaelides,"Jack Hawkins, Louise Brealey",N/A,8 hrs and 51 mins,02-05-19,English
69. Central Park West,James Comey,Cassandra Campbell,N/A,10 hrs and 35 mins,05-30-23,English
70. The Daddy Diaries,Andy Cohen,Andy Cohen,N/A,10 hrs and 32 mins,05-09-23,English
71. Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks,Rich Dad Series,8 hrs and 22 mins,05-14-19,English
72. The Hobbit,J. R. R. Tolkien,Andy Serkis,"The Lord of the Rings, Book 0.5",10 hrs and 25 mins,09-21-20,English
73. Daisy Jones & The Six,Taylor Jenkins Reid,"Jennifer Beals, Benjamin Bratt, Judy Greer, Pablo Schreiber",N/A,9 hrs and 3 mins,03-05-19,English
74. Finding Me,Viola Davis,Viola Davis,N/A,9 hrs and 15 mins,04-26-22,English
75. The Fellowship of the Ring,J. R. R. Tolkien,Rob Inglis,"The Lord of the Rings, Book 1",19 hrs and 7 mins,10-09-12,English
76. Trust (Pulitzer Prize Winner),Hernan Diaz,"Edoardo Ballerini, Jonathan Davis, Mozhan Marnò, Orlagh Cassidy",N/A,10 hrs and 21 mins,05-03-22,English
77. Reminders of Him,Colleen Hoover,"Brittany Pressley, Ryan West",N/A,10 hrs and 17 mins,01-18-22,English
78. Local Woman Missing,Mary Kubica,"Brittany Pressley, Jennifer Jill Araya, Gary Tiedemann, Jesse Vilinsky",N/A,11 hrs and 40 mins,05-18-21,English
79. I Will Teach You to Be Rich,Ramit Sethi,Ramit Sethi,N/A,12 hrs and 8 mins,05-14-19,English
80. Kingdom of Ash,Sarah J. Maas,Elizabeth Evans,"Throne of Glass, Book 7",33 hrs and 11 mins,10-23-18,English
81. The Making of Another Major Motion Picture Masterpiece,Tom Hanks,"Tom Hanks, Peter Gerety, Natalie Morales, Ego Nwodim, Nasim Pedrad, Connor Ratliff, Holland Taylor, Rita Wilson, full cast",N/A,15 hrs and 57 mins,05-09-23,English
82. Light Bringer,Pierce Brown,Tim Gerard Reynolds,"Red Rising, Book 6",13 hrs and 15 mins,07-25-23,English
83. Things We Never Got Over,Lucy Score,"Lila Winters, Sebastian York","Knockemout, Book 1",16 hrs and 1 min,03-01-22,English
84. Simply Lies,David Baldacci,"Lisa Flanagan, Corey Carthew",N/A,11 hrs and 45 mins,04-18-23,English
85. He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon, Travis Deverell",Heath Miller,"He Who Fights with Monsters, Book 1",28 hrs and 56 mins,03-09-21,English
86. Sacred Sins,Nora Roberts,Hillary Huber,"D.C. Detectives, Book 1",10 hrs and 54 mins,05-30-23,English
87. Have You Eaten Yet?,Cheuk Kwan,Brian Nishii,N/A,9 hrs and 18 mins,01-13-23,English
88. Becoming Free Indeed,"Jinger Duggar Vuolo, Corey Williams",Jinger Duggar Vuolo,N/A,5 hrs and 49 mins,01-31-23,English
89. The Housemaid's Secret,Freida McFadden,Lauryn Allman,"Housemaid, Book 2",9 hrs and 44 mins,02-20-23,English
90. The Fellowship of the Ring,J. R. R. Tolkien,Andy Serkis,"The Lord of the Rings, Book 1",22 hrs and 38 mins,09-16-21,English
91. Empire of Storms,Sarah J. Maas,Elizabeth Evans,"Throne of Glass, Book 5",25 hrs and 18 mins,09-06-16,English
92. Throne of Glass,Sarah J. Maas,Elizabeth Evans,"Throne of Glass, Book 1",13 hrs and 3 mins,01-28-21,English
93. The 7 Habits of Highly Effective People,Stephen R. Covey,Stephen R. Covey,N/A,13 hrs and 4 mins,12-28-03,English
94. Tom Clancy Flash Point,Don Bentley,Scott Brick,"Jack Ryan Jr., Book 10",11 hrs and 33 mins,05-23-23,English
95. Becoming Supernatural,Joe Dispenza,Adam Boyce,N/A,14 hrs and 6 mins,10-02-20,English
96. The Way of Kings,Brandon Sanderson,"Kate Reading, Michael Kramer","The Stormlight Archive, Book 1",45 hrs and 30 mins,08-31-10,English
97. The Midnight Library,Matt Haig,Carey Mulligan,N/A,8 hrs and 50 mins,09-29-20,English
98. Atlas of the Heart,Brené Brown,Brené Brown,N/A,8 hrs and 29 mins,02-14-22,English
99. The Turning of Our Bones,Ed James,Angus King,"DI Rob Marshall Mysteries, Book 1",12 hrs and 50 mins,01-20-23,English
100. Tower of Dawn,Sarah J. Maas,Elizabeth Evans,"Throne of Glass, Book 6",22 hrs and 39 mins,09-05-17,English
